anime_id,Name
30,Neon Genesis Evangelion
31,Neon Genesis Evangelion: Death & Rebirth
32,Neon Genesis Evangelion: The End of Evangelion
2759,Evangelion: 1.0 You Are (Not) Alone
3784,Evangelion: 2.0 You Can (Not) Advance
3785,Evangelion: 3.0 You Can (Not) Redo
3786,Shin Evangelion Movie: ||
7593,Kiss x Sis (TV)
9756,Mahou Shoujo Madoka★Magica
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
11111,Another
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
16498,Shingeki no Kyojin
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
23273,Shigatsu wa Kimi no Uso
25777,Shingeki no Kyojin Season 2
28851,Koe no Katachi
30831,Kono Subarashii Sekai ni Shukufuku wo!
31240,Re:Zero kara Hajimeru Isekai Seikatsu
31964,Boku no Hero Academia
32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
32281,Kimi no Na wa.
32937,Kono Subarashii Sekai ni Shukufuku wo! 2
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen
33352,Violet Evergarden
33486,Boku no Hero Academia 2nd Season
34240,Shelter (Music)
34599,Made in Abyss
34798,Yuru Camp△
34933,Kakegurui
35760,Shingeki no Kyojin Season 3
35849,Darling in the FranXX
36098,Kimi no Suizou wo Tabetai
36456,Boku no Hero Academia 3rd Season
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei
37086,Kakegurui××
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou"
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
37514,Made in Abyss Movie 1: Tabidachi no Yoake
37515,Made in Abyss Movie 2: Hourou Suru Tasogare
37585,Yarichin☆Bitch-bu
37779,Yakusoku no Neverland
37987,Violet Evergarden Movie
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
38000,Kimetsu no Yaiba
38040,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
38408,Boku no Hero Academia 4th Season
38524,Shingeki no Kyojin Season 3 Part 2
38816,Hello World
39175,Cider no You ni Kotoba ga Wakiagaru
39533,Given
39534,Jibaku Shounen Hanako-kun
39565,Boku no Hero Academia the Movie 2: Heroes:Rising
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou
40295,Another World
40421,Given Movie
40615,Umibe no Étranger
40787,Josee to Tora to Sakana-tachi
41353,The God of High School
41389,Tonikaku Kawaii
41433,Akudama Drive
41619,Munou na Nana
42310,Cyberpunk: Edgerunners
42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren
43299,Wonder Egg Priority
48849,Sonny Boy
50265,Spy x Family
50339,Kakegurui Twin
52034,"""Oshi no Ko"""
14719,JoJo no Kimyou na Bouken (TV)
