MAL_ID,Name,Score,Genres,Type,Episodes
1,Cowboy Bebop,8.75,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26
32772,Puzzle & Dragons Cross,6.47,"Game, Kids",TV,89
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1
6,Trigun,8.22,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26
7,Witch Hunter Robin,7.24,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26
8,Bouken Ou Beet,6.93,"Adventure, Fantasy, Shounen, Supernatural",TV,52
15,Eyeshield 21,7.91,"Action, Sports, Comedy, Shounen",TV,145
16,Hachimitsu to Clover,7.99,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24
17,Hungry Heart: Wild Striker,7.55,"Slice of Life, Comedy, Sports, Shounen",TV,52
18,Initial D Fourth Stage,8.17,"Action, Cars, Sports, Drama, Seinen",TV,24
19,Monster,8.88,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74
20,Naruto,7.99,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220
21,One Piece,8.72,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,1091
22,Tennis no Ouji-sama,7.85,"Action, Comedy, Sports, School, Shounen",TV,178
23,Ring ni Kakero 1,6.4,"Action, Shounen, Sports",TV,12
24,School Rumble,7.89,"Comedy, Romance, School, Shounen",TV,26
25,Sunabouzu,7.37,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22
27,Trinity Blood,7.29,"Action, Supernatural, Vampire",TV,24
32792,Mobile Suit Gundam Unicorn RE:0096,7.63,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,22
28,Yakitate!! Japan,7.91,"Comedy, Shounen",TV,69
30,Neon Genesis Evangelion,8.35,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26
31,Neon Genesis Evangelion: Death & Rebirth,7.47,"Drama, Mecha, Psychological, Sci-Fi",Movie,1
32,Neon Genesis Evangelion: The End of Evangelion,8.55,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1
33,Kenpuu Denki Berserk,8.58,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25
32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,7.05,"Action, Adventure, Comedy, Fantasy, Romance",OVA,1
29,Zipang,7.48,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26
32802,Cardfight!! Vanguard G: Stride Gate-hen,6.69,"Action, Game, Shounen",TV,24
32805,Nyanbo!,6.32,Comedy,TV,26
32806,Aikatsu!: Nerawareta Mahou no Aikatsu! Card,7.24,"Music, Slice of Life, School, Shoujo",Movie,1
43,Koukaku Kidoutai,8.27,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,"Samurai, Historical, Drama, Shounen",Movie,1
47,Akira,8.16,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1
48,.hack//Sign,6.95,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26
49,Aa! Megami-sama!,7.29,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5
50,Aa! Megami-sama! (TV),7.32,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24
