anime_id,jpg_small,jpg_large,webp_small,webp_large
1,https://cdn.myanimelist.net/images/anime/4/19644t.jpg,https://cdn.myanimelist.net/images/anime/4/19644l.jpg,https://cdn.myanimelist.net/images/anime/4/19644t.webp,https://cdn.myanimelist.net/images/anime/4/19644l.webp
32772,https://cdn.myanimelist.net/images/anime/5/80793t.jpg,https://cdn.myanimelist.net/images/anime/5/80793l.jpg,https://cdn.myanimelist.net/images/anime/5/80793t.webp,https://cdn.myanimelist.net/images/anime/5/80793l.webp
5,https://cdn.myanimelist.net/images/anime/1439/93480t.jpg,https://cdn.myanimelist.net/images/anime/1439/93480l.jpg,https://cdn.myanimelist.net/images/anime/1439/93480t.webp,https://cdn.myanimelist.net/images/anime/1439/93480l.webp
6,https://cdn.myanimelist.net/images/anime/7/20310t.jpg,https://cdn.myanimelist.net/images/anime/7/20310l.jpg,https://cdn.myanimelist.net/images/anime/7/20310t.webp,https://cdn.myanimelist.net/images/anime/7/20310l.webp
7,https://cdn.myanimelist.net/images/anime/10/19969t.jpg,https://cdn.myanimelist.net/images/anime/10/19969l.jpg,https://cdn.myanimelist.net/images/anime/10/19969t.webp,https://cdn.myanimelist.net/images/anime/10/19969l.webp
8,https://cdn.myanimelist.net/images/anime/7/21569t.jpg,https://cdn.myanimelist.net/images/anime/7/21569l.jpg,https://cdn.myanimelist.net/images/anime/7/21569t.webp,https://cdn.myanimelist.net/images/anime/7/21569l.webp
15,https://cdn.myanimelist.net/images/anime/1079/133529t.jpg,https://cdn.myanimelist.net/images/anime/1079/133529l.jpg,https://cdn.myanimelist.net/images/anime/1079/133529t.webp,https://cdn.myanimelist.net/images/anime/1079/133529l.webp
16,https://cdn.myanimelist.net/images/anime/1301/133577t.jpg,https://cdn.myanimelist.net/images/anime/1301/133577l.jpg,https://cdn.myanimelist.net/images/anime/1301/133577t.webp,https://cdn.myanimelist.net/images/anime/1301/133577l.webp
17,https://cdn.myanimelist.net/images/anime/12/49655t.jpg,https://cdn.myanimelist.net/images/anime/12/49655l.jpg,https://cdn.myanimelist.net/images/anime/12/49655t.webp,https://cdn.myanimelist.net/images/anime/12/49655l.webp
18,https://cdn.myanimelist.net/images/anime/9/10521t.jpg,https://cdn.myanimelist.net/images/anime/9/10521l.jpg,https://cdn.myanimelist.net/images/anime/9/10521t.webp,https://cdn.myanimelist.net/images/anime/9/10521l.webp
19,https://cdn.myanimelist.net/images/anime/10/18793t.jpg,https://cdn.myanimelist.net/images/anime/10/18793l.jpg,https://cdn.myanimelist.net/images/anime/10/18793t.webp,https://cdn.myanimelist.net/images/anime/10/18793l.webp
20,https://cdn.myanimelist.net/images/anime/1141/142503t.jpg,https://cdn.myanimelist.net/images/anime/1141/142503l.jpg,https://cdn.myanimelist.net/images/anime/1141/142503t.webp,https://cdn.myanimelist.net/images/anime/1141/142503l.webp
21,https://cdn.myanimelist.net/images/anime/1244/138851t.jpg,https://cdn.myanimelist.net/images/anime/1244/138851l.jpg,https://cdn.myanimelist.net/images/anime/1244/138851t.webp,https://cdn.myanimelist.net/images/anime/1244/138851l.webp
22,https://cdn.myanimelist.net/images/anime/6/21624t.jpg,https://cdn.myanimelist.net/images/anime/6/21624l.jpg,https://cdn.myanimelist.net/images/anime/6/21624t.webp,https://cdn.myanimelist.net/images/anime/6/21624l.webp
23,https://cdn.myanimelist.net/images/anime/1146/124743t.jpg,https://cdn.myanimelist.net/images/anime/1146/124743l.jpg,https://cdn.myanimelist.net/images/anime/1146/124743t.webp,https://cdn.myanimelist.net/images/anime/1146/124743l.webp
24,https://cdn.myanimelist.net/images/anime/1465/142014t.jpg,https://cdn.myanimelist.net/images/anime/1465/142014l.jpg,https://cdn.myanimelist.net/images/anime/1465/142014t.webp,https://cdn.myanimelist.net/images/anime/1465/142014l.webp
25,https://cdn.myanimelist.net/images/anime/6/75536t.jpg,https://cdn.myanimelist.net/images/anime/6/75536l.jpg,https://cdn.myanimelist.net/images/anime/6/75536t.webp,https://cdn.myanimelist.net/images/anime/6/75536l.webp
26,https://cdn.myanimelist.net/images/anime/1027/131977t.jpg,https://cdn.myanimelist.net/images/anime/1027/131977l.jpg,https://cdn.myanimelist.net/images/anime/1027/131977t.webp,https://cdn.myanimelist.net/images/anime/1027/131977l.webp
27,https://cdn.myanimelist.net/images/anime/10/24649t.jpg,https://cdn.myanimelist.net/images/anime/10/24649l.jpg,https://cdn.myanimelist.net/images/anime/10/24649t.webp,https://cdn.myanimelist.net/images/anime/10/24649l.webp
32792,https://cdn.myanimelist.net/images/anime/1831/132807t.jpg,https://cdn.myanimelist.net/images/anime/1831/132807l.jpg,https://cdn.myanimelist.net/images/anime/1831/132807t.webp,https://cdn.myanimelist.net/images/anime/1831/132807l.webp
28,https://cdn.myanimelist.net/images/anime/3/76432t.jpg,https://cdn.myanimelist.net/images/anime/3/76432l.jpg,https://cdn.myanimelist.net/images/anime/3/76432t.webp,https://cdn.myanimelist.net/images/anime/3/76432l.webp
30,https://cdn.myanimelist.net/images/anime/1314/108941t.jpg,https://cdn.myanimelist.net/images/anime/1314/108941l.jpg,https://cdn.myanimelist.net/images/anime/1314/108941t.webp,https://cdn.myanimelist.net/images/anime/1314/108941l.webp
31,https://cdn.myanimelist.net/images/anime/1993/113122t.jpg,https://cdn.myanimelist.net/images/anime/1993/113122l.jpg,https://cdn.myanimelist.net/images/anime/1993/113122t.webp,https://cdn.myanimelist.net/images/anime/1993/113122l.webp
32,https://cdn.myanimelist.net/images/anime/1404/98182t.jpg,https://cdn.myanimelist.net/images/anime/1404/98182l.jpg,https://cdn.myanimelist.net/images/anime/1404/98182t.webp,https://cdn.myanimelist.net/images/anime/1404/98182l.webp
33,https://cdn.myanimelist.net/images/anime/1384/119988t.jpg,https://cdn.myanimelist.net/images/anime/1384/119988l.jpg,https://cdn.myanimelist.net/images/anime/1384/119988t.webp,https://cdn.myanimelist.net/images/anime/1384/119988l.webp
32801,https://cdn.myanimelist.net/images/anime/9/81432t.jpg,https://cdn.myanimelist.net/images/anime/9/81432l.jpg,https://cdn.myanimelist.net/images/anime/9/81432t.webp,https://cdn.myanimelist.net/images/anime/9/81432l.webp
29,https://cdn.myanimelist.net/images/anime/13/75740t.jpg,https://cdn.myanimelist.net/images/anime/13/75740l.jpg,https://cdn.myanimelist.net/images/anime/13/75740t.webp,https://cdn.myanimelist.net/images/anime/13/75740l.webp
32802,https://cdn.myanimelist.net/images/anime/10/80198t.jpg,https://cdn.myanimelist.net/images/anime/10/80198l.jpg,https://cdn.myanimelist.net/images/anime/10/80198t.webp,https://cdn.myanimelist.net/images/anime/10/80198l.webp
32805,https://cdn.myanimelist.net/images/anime/12/82325t.jpg,https://cdn.myanimelist.net/images/anime/12/82325l.jpg,https://cdn.myanimelist.net/images/anime/12/82325t.webp,https://cdn.myanimelist.net/images/anime/12/82325l.webp
32806,https://cdn.myanimelist.net/images/anime/1163/133977t.jpg,https://cdn.myanimelist.net/images/anime/1163/133977l.jpg,https://cdn.myanimelist.net/images/anime/1163/133977t.webp,https://cdn.myanimelist.net/images/anime/1163/133977l.webp
43,https://cdn.myanimelist.net/images/anime/10/82594t.jpg,https://cdn.myanimelist.net/images/anime/10/82594l.jpg,https://cdn.myanimelist.net/images/anime/10/82594t.webp,https://cdn.myanimelist.net/images/anime/10/82594l.webp
44,https://cdn.myanimelist.net/images/anime/1656/137618t.jpg,https://cdn.myanimelist.net/images/anime/1656/137618l.jpg,https://cdn.myanimelist.net/images/anime/1656/137618t.webp,https://cdn.myanimelist.net/images/anime/1656/137618l.webp
45,https://cdn.myanimelist.net/images/anime/1346/119505t.jpg,https://cdn.myanimelist.net/images/anime/1346/119505l.jpg,https://cdn.myanimelist.net/images/anime/1346/119505t.webp,https://cdn.myanimelist.net/images/anime/1346/119505l.webp
46,https://cdn.myanimelist.net/images/anime/4/47845t.jpg,https://cdn.myanimelist.net/images/anime/4/47845l.jpg,https://cdn.myanimelist.net/images/anime/4/47845t.webp,https://cdn.myanimelist.net/images/anime/4/47845l.webp
47,https://cdn.myanimelist.net/images/anime/1408/114012t.jpg,https://cdn.myanimelist.net/images/anime/1408/114012l.jpg,https://cdn.myanimelist.net/images/anime/1408/114012t.webp,https://cdn.myanimelist.net/images/anime/1408/114012l.webp
48,https://cdn.myanimelist.net/images/anime/1443/94665t.jpg,https://cdn.myanimelist.net/images/anime/1443/94665l.jpg,https://cdn.myanimelist.net/images/anime/1443/94665t.webp,https://cdn.myanimelist.net/images/anime/1443/94665l.webp
49,https://cdn.myanimelist.net/images/anime/11/71215t.jpg,https://cdn.myanimelist.net/images/anime/11/71215l.jpg,https://cdn.myanimelist.net/images/anime/11/71215t.webp,https://cdn.myanimelist.net/images/anime/11/71215l.webp
50,https://cdn.myanimelist.net/images/anime/1976/99376t.jpg,https://cdn.myanimelist.net/images/anime/1976/99376l.jpg,https://cdn.myanimelist.net/images/anime/1976/99376t.webp,https://cdn.myanimelist.net/images/anime/1976/99376l.webp
51,https://cdn.myanimelist.net/images/anime/11/45208t.jpg,https://cdn.myanimelist.net/images/anime/11/45208l.jpg,https://cdn.myanimelist.net/images/anime/11/45208t.webp,https://cdn.myanimelist.net/images/anime/11/45208l.webp
52,https://cdn.myanimelist.net/images/anime/1192/113699t.jpg,https://cdn.myanimelist.net/images/anime/1192/113699l.jpg,https://cdn.myanimelist.net/images/anime/1192/113699t.webp,https://cdn.myanimelist.net/images/anime/1192/113699l.webp
53,https://cdn.myanimelist.net/images/anime/7/10172t.jpg,https://cdn.myanimelist.net/images/anime/7/10172l.jpg,https://cdn.myanimelist.net/images/anime/7/10172t.webp,https://cdn.myanimelist.net/images/anime/7/10172l.webp
54,https://cdn.myanimelist.net/images/anime/9/57231t.jpg,https://cdn.myanimelist.net/images/anime/9/57231l.jpg,https://cdn.myanimelist.net/images/anime/9/57231t.webp,https://cdn.myanimelist.net/images/anime/9/57231l.webp
32816,https://cdn.myanimelist.net/images/anime/4/78679t.jpg,https://cdn.myanimelist.net/images/anime/4/78679l.jpg,https://cdn.myanimelist.net/images/anime/4/78679t.webp,https://cdn.myanimelist.net/images/anime/4/78679l.webp
32817,https://cdn.myanimelist.net/images/anime/5/83104t.jpg,https://cdn.myanimelist.net/images/anime/5/83104l.jpg,https://cdn.myanimelist.net/images/anime/5/83104t.webp,https://cdn.myanimelist.net/images/anime/5/83104l.webp
57,https://cdn.myanimelist.net/images/anime/11/11636t.jpg,https://cdn.myanimelist.net/images/anime/11/11636l.jpg,https://cdn.myanimelist.net/images/anime/11/11636t.webp,https://cdn.myanimelist.net/images/anime/11/11636l.webp
58,https://cdn.myanimelist.net/images/anime/1/2023t.jpg,https://cdn.myanimelist.net/images/anime/1/2023l.jpg,https://cdn.myanimelist.net/images/anime/1/2023t.webp,https://cdn.myanimelist.net/images/anime/1/2023l.webp
59,https://cdn.myanimelist.net/images/anime/4/24648t.jpg,https://cdn.myanimelist.net/images/anime/4/24648l.jpg,https://cdn.myanimelist.net/images/anime/4/24648t.webp,https://cdn.myanimelist.net/images/anime/4/24648l.webp
60,https://cdn.myanimelist.net/images/anime/13/14141t.jpg,https://cdn.myanimelist.net/images/anime/13/14141l.jpg,https://cdn.myanimelist.net/images/anime/13/14141t.webp,https://cdn.myanimelist.net/images/anime/13/14141l.webp
61,https://cdn.myanimelist.net/images/anime/1126/98904t.jpg,https://cdn.myanimelist.net/images/anime/1126/98904l.jpg,https://cdn.myanimelist.net/images/anime/1126/98904t.webp,https://cdn.myanimelist.net/images/anime/1126/98904l.webp
32828,https://cdn.myanimelist.net/images/anime/6/80546t.jpg,https://cdn.myanimelist.net/images/anime/6/80546l.jpg,https://cdn.myanimelist.net/images/anime/6/80546t.webp,https://cdn.myanimelist.net/images/anime/6/80546l.webp
63,https://cdn.myanimelist.net/images/anime/1207/98872t.jpg,https://cdn.myanimelist.net/images/anime/1207/98872l.jpg,https://cdn.myanimelist.net/images/anime/1207/98872t.webp,https://cdn.myanimelist.net/images/anime/1207/98872l.webp
62,https://cdn.myanimelist.net/images/anime/4/73936t.jpg,https://cdn.myanimelist.net/images/anime/4/73936l.jpg,https://cdn.myanimelist.net/images/anime/4/73936t.webp,https://cdn.myanimelist.net/images/anime/4/73936l.webp
32827,https://cdn.myanimelist.net/images/anime/1564/90469t.jpg,https://cdn.myanimelist.net/images/anime/1564/90469l.jpg,https://cdn.myanimelist.net/images/anime/1564/90469t.webp,https://cdn.myanimelist.net/images/anime/1564/90469l.webp
66,https://cdn.myanimelist.net/images/anime/1066/117358t.jpg,https://cdn.myanimelist.net/images/anime/1066/117358l.jpg,https://cdn.myanimelist.net/images/anime/1066/117358t.webp,https://cdn.myanimelist.net/images/anime/1066/117358l.webp
67,https://cdn.myanimelist.net/images/anime/1103/133549t.jpg,https://cdn.myanimelist.net/images/anime/1103/133549l.jpg,https://cdn.myanimelist.net/images/anime/1103/133549t.webp,https://cdn.myanimelist.net/images/anime/1103/133549l.webp
68,https://cdn.myanimelist.net/images/anime/1183/133280t.jpg,https://cdn.myanimelist.net/images/anime/1183/133280l.jpg,https://cdn.myanimelist.net/images/anime/1183/133280t.webp,https://cdn.myanimelist.net/images/anime/1183/133280l.webp
32836,https://cdn.myanimelist.net/images/anime/3/86584t.jpg,https://cdn.myanimelist.net/images/anime/3/86584l.jpg,https://cdn.myanimelist.net/images/anime/3/86584t.webp,https://cdn.myanimelist.net/images/anime/3/86584l.webp
32829,https://cdn.myanimelist.net/images/anime/2/78715t.jpg,https://cdn.myanimelist.net/images/anime/2/78715l.jpg,https://cdn.myanimelist.net/images/anime/2/78715t.webp,https://cdn.myanimelist.net/images/anime/2/78715l.webp
71,https://cdn.myanimelist.net/images/anime/2/75259t.jpg,https://cdn.myanimelist.net/images/anime/2/75259l.jpg,https://cdn.myanimelist.net/images/anime/2/75259t.webp,https://cdn.myanimelist.net/images/anime/2/75259l.webp
72,https://cdn.myanimelist.net/images/anime/4/75260t.jpg,https://cdn.myanimelist.net/images/anime/4/75260l.jpg,https://cdn.myanimelist.net/images/anime/4/75260t.webp,https://cdn.myanimelist.net/images/anime/4/75260l.webp
73,https://cdn.myanimelist.net/images/anime/11/75261t.jpg,https://cdn.myanimelist.net/images/anime/11/75261l.jpg,https://cdn.myanimelist.net/images/anime/11/75261t.webp,https://cdn.myanimelist.net/images/anime/11/75261l.webp
32833,https://cdn.myanimelist.net/images/anime/3/78974t.jpg,https://cdn.myanimelist.net/images/anime/3/78974l.jpg,https://cdn.myanimelist.net/images/anime/3/78974t.webp,https://cdn.myanimelist.net/images/anime/3/78974l.webp
32843,https://cdn.myanimelist.net/images/anime/1899/101966t.jpg,https://cdn.myanimelist.net/images/anime/1899/101966l.jpg,https://cdn.myanimelist.net/images/anime/1899/101966t.webp,https://cdn.myanimelist.net/images/anime/1899/101966l.webp
76,https://cdn.myanimelist.net/images/anime/1052/136283t.jpg,https://cdn.myanimelist.net/images/anime/1052/136283l.jpg,https://cdn.myanimelist.net/images/anime/1052/136283t.webp,https://cdn.myanimelist.net/images/anime/1052/136283l.webp
77,https://cdn.myanimelist.net/images/anime/4/6767t.jpg,https://cdn.myanimelist.net/images/anime/4/6767l.jpg,https://cdn.myanimelist.net/images/anime/4/6767t.webp,https://cdn.myanimelist.net/images/anime/4/6767l.webp
74,https://cdn.myanimelist.net/images/anime/4/18118t.jpg,https://cdn.myanimelist.net/images/anime/4/18118l.jpg,https://cdn.myanimelist.net/images/anime/4/18118t.webp,https://cdn.myanimelist.net/images/anime/4/18118l.webp
79,https://cdn.myanimelist.net/images/anime/1290/133860t.jpg,https://cdn.myanimelist.net/images/anime/1290/133860l.jpg,https://cdn.myanimelist.net/images/anime/1290/133860t.webp,https://cdn.myanimelist.net/images/anime/1290/133860l.webp
80,https://cdn.myanimelist.net/images/anime/5/88524t.jpg,https://cdn.myanimelist.net/images/anime/5/88524l.jpg,https://cdn.myanimelist.net/images/anime/5/88524t.webp,https://cdn.myanimelist.net/images/anime/5/88524l.webp
81,https://cdn.myanimelist.net/images/anime/9/75618t.jpg,https://cdn.myanimelist.net/images/anime/9/75618l.jpg,https://cdn.myanimelist.net/images/anime/9/75618t.webp,https://cdn.myanimelist.net/images/anime/9/75618l.webp
82,https://cdn.myanimelist.net/images/anime/1/82t.jpg,https://cdn.myanimelist.net/images/anime/1/82l.jpg,https://cdn.myanimelist.net/images/anime/1/82t.webp,https://cdn.myanimelist.net/images/anime/1/82l.webp
83,https://cdn.myanimelist.net/images/anime/1132/100198t.jpg,https://cdn.myanimelist.net/images/anime/1132/100198l.jpg,https://cdn.myanimelist.net/images/anime/1132/100198t.webp,https://cdn.myanimelist.net/images/anime/1132/100198l.webp
84,https://cdn.myanimelist.net/images/anime/13/26654t.jpg,https://cdn.myanimelist.net/images/anime/13/26654l.jpg,https://cdn.myanimelist.net/images/anime/13/26654t.webp,https://cdn.myanimelist.net/images/anime/13/26654l.webp
85,https://cdn.myanimelist.net/images/anime/6/11153t.jpg,https://cdn.myanimelist.net/images/anime/6/11153l.jpg,https://cdn.myanimelist.net/images/anime/6/11153t.webp,https://cdn.myanimelist.net/images/anime/6/11153l.webp
86,https://cdn.myanimelist.net/images/anime/1848/91078t.jpg,https://cdn.myanimelist.net/images/anime/1848/91078l.jpg,https://cdn.myanimelist.net/images/anime/1848/91078t.webp,https://cdn.myanimelist.net/images/anime/1848/91078l.webp
87,https://cdn.myanimelist.net/images/anime/1523/92371t.jpg,https://cdn.myanimelist.net/images/anime/1523/92371l.jpg,https://cdn.myanimelist.net/images/anime/1523/92371t.webp,https://cdn.myanimelist.net/images/anime/1523/92371l.webp
88,https://cdn.myanimelist.net/images/anime/1637/95288t.jpg,https://cdn.myanimelist.net/images/anime/1637/95288l.jpg,https://cdn.myanimelist.net/images/anime/1637/95288t.webp,https://cdn.myanimelist.net/images/anime/1637/95288l.webp
89,https://cdn.myanimelist.net/images/anime/1913/102693t.jpg,https://cdn.myanimelist.net/images/anime/1913/102693l.jpg,https://cdn.myanimelist.net/images/anime/1913/102693t.webp,https://cdn.myanimelist.net/images/anime/1913/102693l.webp
90,https://cdn.myanimelist.net/images/anime/1884/114414t.jpg,https://cdn.myanimelist.net/images/anime/1884/114414l.jpg,https://cdn.myanimelist.net/images/anime/1884/114414t.webp,https://cdn.myanimelist.net/images/anime/1884/114414l.webp
91,https://cdn.myanimelist.net/images/anime/1061/97444t.jpg,https://cdn.myanimelist.net/images/anime/1061/97444l.jpg,https://cdn.myanimelist.net/images/anime/1061/97444t.webp,https://cdn.myanimelist.net/images/anime/1061/97444l.webp
92,https://cdn.myanimelist.net/images/anime/10/16054t.jpg,https://cdn.myanimelist.net/images/anime/10/16054l.jpg,https://cdn.myanimelist.net/images/anime/10/16054t.webp,https://cdn.myanimelist.net/images/anime/10/16054l.webp
93,https://cdn.myanimelist.net/images/anime/1792/91081t.jpg,https://cdn.myanimelist.net/images/anime/1792/91081l.jpg,https://cdn.myanimelist.net/images/anime/1792/91081t.webp,https://cdn.myanimelist.net/images/anime/1792/91081l.webp
94,https://cdn.myanimelist.net/images/anime/1700/91080t.jpg,https://cdn.myanimelist.net/images/anime/1700/91080l.jpg,https://cdn.myanimelist.net/images/anime/1700/91080t.webp,https://cdn.myanimelist.net/images/anime/1700/91080l.webp
32863,https://cdn.myanimelist.net/images/anime/1807/96939t.jpg,https://cdn.myanimelist.net/images/anime/1807/96939l.jpg,https://cdn.myanimelist.net/images/anime/1807/96939t.webp,https://cdn.myanimelist.net/images/anime/1807/96939l.webp
32864,https://cdn.myanimelist.net/images/anime/1835/103743t.jpg,https://cdn.myanimelist.net/images/anime/1835/103743l.jpg,https://cdn.myanimelist.net/images/anime/1835/103743t.webp,https://cdn.myanimelist.net/images/anime/1835/103743l.webp
96,https://cdn.myanimelist.net/images/anime/1187/133654t.jpg,https://cdn.myanimelist.net/images/anime/1187/133654l.jpg,https://cdn.myanimelist.net/images/anime/1187/133654t.webp,https://cdn.myanimelist.net/images/anime/1187/133654l.webp
98,https://cdn.myanimelist.net/images/anime/13/7226t.jpg,https://cdn.myanimelist.net/images/anime/13/7226l.jpg,https://cdn.myanimelist.net/images/anime/13/7226t.webp,https://cdn.myanimelist.net/images/anime/13/7226l.webp
32867,https://cdn.myanimelist.net/images/anime/1572/133096t.jpg,https://cdn.myanimelist.net/images/anime/1572/133096l.jpg,https://cdn.myanimelist.net/images/anime/1572/133096t.webp,https://cdn.myanimelist.net/images/anime/1572/133096l.webp
100,https://cdn.myanimelist.net/images/anime/9/11709t.jpg,https://cdn.myanimelist.net/images/anime/9/11709l.jpg,https://cdn.myanimelist.net/images/anime/9/11709t.webp,https://cdn.myanimelist.net/images/anime/9/11709l.webp
