MAL_ID,Members
1,1857971
5,376718
6,760800
7,116324
8,15406
15,183079
16,267908
17,24919
18,187283
19,1109587
20,2840219
21,2339527
22,183998
23,4838
24,327664
25,139591
26,251613
27,184602
28,98053
29,22534
30,1809292
31,261345
32,928131
33,655361
43,634102
44,276189
45,494568
46,52523
47,849466
48,182968
49,54134
50,159776
51,49492
52,58696
53,110994
54,73890
55,16509
56,17862
57,340341
58,81232
59,482653
60,226418
61,184982
62,76009
63,148522
64,204910
65,105304
66,359123
67,188418
68,270249
69,10884
71,495923
72,296141
73,260617
74,99971
75,48569
76,103875
77,65256
79,278651
80,133486
81,83913
82,60671
83,13815
84,45165
85,75283
86,43572
87,50322
88,32631
89,28110
90,160234
91,48474
92,36378
93,170506
94,108000
95,48531
96,69336
97,174725
98,115696
99,51416
100,64095
101,298088
102,103081
103,15926
104,62408
105,23620
106,62133
107,37834
108,13159
109,71241
110,20100
111,17005
112,8886
113,24880
114,138986
115,11834
116,18197
117,19864
118,9351
119,35729
120,538037
121,1467286
122,109592
123,119894
124,18124
125,35469
126,31637
127,22412
128,10716
129,55257
130,35470
131,23766
132,122393
133,117557
134,190144
135,138299
136,589352
137,126568
138,156115
139,144718
141,11803
142,56808
143,71379
144,66012
145,230480
146,61003
147,142081
148,9424
149,140662
150,376409
151,29804
152,30326
153,152103
154,365509
155,38800
156,82974
157,141035
158,70135
159,18887
160,144999
161,58035
162,24005
163,8121
164,1250333
165,119272
166,131339
167,95782
168,82988
169,169081
170,299529
171,5931
173,41193
174,189172
175,29665
176,7129
177,228198
178,33662
179,5721
180,84752
181,54241
182,157724
183,14658
184,20710
185,381721
186,219230
187,181238
189,266058
190,85496
191,58326
192,53046
193,97407
194,39370
195,176883
196,89581
197,25303
198,114077
199,1846142
200,28094
201,30371
202,327948
204,28124
205,1235216
206,33820
207,76127
208,68103
209,69464
210,254437
212,21026
215,2776
216,3025
218,54462
219,16503
222,22782
223,1035420
225,629134
226,1508743
227,820180
228,359681
229,35149
230,39213
231,8053
232,436447
233,25639
234,4347
235,347478
236,16568
237,435099
238,67184
239,249321
240,179189
241,149292
242,46446
243,120121
244,7902
245,823754
246,100558
247,25061
248,115287
249,795265
250,126598
251,114068
252,41998
253,34230
254,12526
255,10124
256,156566
257,163975
258,18013
259,11866
260,28521
261,15223
262,9648
263,589300
264,137604
265,110481
266,16794
267,190306
268,398392
269,1956488
270,724059
271,14239
272,113719
273,27352
274,46373
275,22087
276,63951
277,32907
278,11954
279,39194
280,3250
281,19117
282,18215
283,33198
284,14515
285,27848
286,12138
287,144780
288,113535
289,20133
290,52840
291,33802
292,22141
293,25375
294,13125
295,7706
296,23497
297,55850
298,67885
299,33640
300,28500
301,7807
302,50619
303,22373
304,43028
305,4834
306,90370
307,1514
308,20661
309,6250
310,1885
311,13653
312,2649
313,4661
314,3464
315,3267
317,213174
318,30239
319,6385
321,15382
322,226308
323,418478
324,39019
325,103950
326,68567
327,15426
328,9023
329,253106
330,168013
331,11062
332,4200
333,6911
334,55975
335,38903
336,13132
337,11677
338,97447
339,772271
340,24596
341,52621
342,15991
343,76611
344,10701
345,58820
346,15776
347,8331
348,19271
349,6090
350,56053
351,22299
352,21878
353,17452
354,9710
355,535750
356,940855
357,201117
358,25897
359,5636
360,6259
361,6672
362,4039
363,3479
364,15181
365,21589
366,36257
367,2851
369,135825
370,11701
371,99828
372,115546
373,12632
374,5978
375,8476
376,193495
377,11619
378,5373
379,109872
380,23344
381,20824
382,37088
383,29280
384,358453
385,41697
386,9967
387,286698
388,27378
389,64150
390,116100
391,23278
392,686742
393,70918
394,59311
395,162492
396,34000
397,23858
398,17799
399,3465
400,156178
401,84363
402,2068
403,32462
404,43696
405,111774
406,15501
407,35301
408,66194
411,78181
412,77090
413,67135
415,48524
416,250499
417,49881
418,22239
419,56556
420,35493
421,12267
422,3577
423,3795
424,32895
425,7125
426,15573
427,85704
428,14266
429,14362
430,329962
431,1330717
432,26542
433,217765
434,8459
435,69961
437,704844
438,14556
439,8812
440,219344
441,53547
442,297652
443,48537
444,28047
445,17412
446,10448
447,19037
448,42531
449,93886
450,105172
451,101642
452,103309
454,20891
455,33773
456,20152
457,827028
458,10241
459,135494
460,100175
461,87011
462,105043
463,83996
464,106824
465,76351
466,40981
467,396265
468,162317
469,178453
470,28465
471,21401
472,27728
473,7619
474,48494
475,6419
476,49694
477,163136
478,77200
479,117525
481,396209
482,217137
483,31412
484,10037
485,11170
486,315697
487,91825
488,109897
489,63309
490,63122
492,18644
493,15519
495,22294
496,7494
497,30322
498,7530
499,24763
501,20689
502,68543
503,4767
504,13856
505,12436
506,9320
507,33028
508,59986
509,38790
510,6349
511,6128
512,584711
513,486421
514,72565
515,5761
516,77110
517,59653
518,9334
519,26157
520,11051
521,81345
522,107385
523,1059851
524,30186
525,18001
526,20469
527,629382
528,265074
529,97512
530,381798
531,66825
532,147016
533,8656
534,142452
535,70616
536,24623
537,16590
538,37208
539,53270
540,28623
541,20916
543,197444
544,15537
545,3861
546,11644
547,3063
548,35145
550,244753
551,90129
552,401266
553,55666
554,25037
555,12189
556,5502
557,7090
558,71734
559,7401
560,15461
561,26746
562,3080
563,44110
564,33270
565,83507
566,31838
567,96694
568,39469
569,49823
570,180268
571,4391
572,375769
573,33258
574,4236
576,35076
577,8741
578,673088
579,35336
580,6474
581,11591
582,12891
584,91361
585,362063
586,76542
587,100761
588,14064
589,27153
590,26509
591,75149
592,2165
593,44443
594,90717
595,13378
596,47038
597,274752
598,10136
599,6647
600,11973
601,79746
602,3145
603,51063
604,12296
605,7841
606,17385
607,7687
608,6895
609,18345
610,24650
611,5133
612,7221
613,6305
614,10025
615,17770
616,4987
617,141309
618,43516
619,4991
620,27581
621,21211
622,8915
623,7079
624,21351
625,3175
626,9038
627,101155
629,10464
630,11698
631,11454
632,6763
633,13130
634,85324
635,19301
636,11428
637,19806
641,19065
642,19237
644,31353
645,24034
646,4689
647,3752
648,8361
649,24039
650,57220
652,10632
653,9856
654,3857
655,8319
656,41054
658,103653
659,43411
660,3747
661,3815
664,43873
665,81472
666,129669
667,50758
668,16677
669,12300
670,41792
671,8591
673,12118
675,4066
676,2684
677,4267
678,14830
679,6096
681,2617
682,15434
683,2330
684,5791
685,9679
686,3514
687,154989
688,25862
689,6086
690,40483
691,21815
693,10074
694,26946
695,7699
696,80307
704,13968
705,2616
706,10052
707,3995
708,8511
709,30023
710,113198
711,5557
712,15912
713,61105
714,4315
715,5773
718,7733
