MAL_ID,Name,Score,Genres,Type,Episodes,Studios,Source,Rating,Premiered,Creator
1,Cowboy Bebop,8.75,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,Sunrise,Original,R - 17+ (violence & profanity),Spring 1998,Yatate Hajime
5,Cowboy Bebop: Tengoku no Tobira,8.38,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1.0,Bones,Original,R - 17+ (violence & profanity),Fall 2001,Yatate Hajime
6,Trigun,8.22,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26.0,Madhouse,Manga,PG-13 - Teens 13 or older,Spring 1998,Nightow Yasuhiro
7,Witch Hunter Robin,7.24,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26.0,Sunrise,Original,PG-13 - Teens 13 or older,Summer 2002,Murase Shukou
8,Bouken Ou Beet,6.93,"Adventure, Fantasy, Shounen, Supernatural",TV,52.0,Toei Animation,Manga,PG - Children,Fall 2004,Sanjou Riku
15,Eyeshield 21,7.91,"Action, Sports, Comedy, Shounen",TV,145.0,Gallop,Manga,PG-13 - Teens 13 or older,Spring 2005,Inagaki Riichiro
16,Hachimitsu to Clover,7.99,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24.0,J.C.Staff,Manga,PG-13 - Teens 13 or older,Spring 2005,Umino Chica
17,Hungry Heart: Wild Striker,7.55,"Slice of Life, Comedy, Sports, Shounen",TV,52.0,Nippon Animation,Manga,PG-13 - Teens 13 or older,Fall 2002,Takahashi Yoichi
18,Initial D Fourth Stage,8.17,"Action, Cars, Sports, Drama, Seinen",TV,24.0,A.C.G.T.,Manga,PG-13 - Teens 13 or older,Spring 2004,Shigeno Shuuichi
19,Monster,8.88,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,Madhouse,Manga,R+ - Mild Nudity,Spring 2004,Urasawa Naoki
